"@timestamp","system_name",message,"operator_id"
"Nov 10, 2022 @ 15:59:57.474","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576787^00600888880000456457^0038557823^00883^BG11995^SPS09^3^rfoksa246",rfoksa246
"Nov 10, 2022 @ 15:59:57.376","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570284^00600888880000462467^0037854411^00190^BG12395^SPS01^1^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:54.382","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570284^00600888880000462467^0037854411^00413^BG09821^SPS01^3^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:53.057","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576787^00600888880000456457^0038557823^00854^BG12582^SPS09^3^rfoksa246",rfoksa246
"Nov 10, 2022 @ 15:59:50.746","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576787^00900777770000509609^0038557823^00132^BG12523^SPS06^4^ku",ku
"Nov 10, 2022 @ 15:59:41.680","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000480587^0037076072^00164^BG11588^SPS06^1^ku",ku
"Nov 10, 2022 @ 15:59:39.183","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000480587^0037076072^00401^BG12618^SPS06^2^ku",ku
"Nov 10, 2022 @ 15:59:37.399","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00900777770000605828^0037076130^02343^BG11279^SPS04^1^rfoksa039",rfoksa039
"Nov 10, 2022 @ 15:59:36.182","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8571001^00600888880000491603^0033175910^00190^BG12395^SPS01^1^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:34.245","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000453337^0037076072^02336^BG09418^SPS09^1^rfoksa246",rfoksa246
"Nov 10, 2022 @ 15:59:31.661","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570284^00600888880000462467^0037854411^00478^BG11603^SPS02^2^rfokratzbe",rfokratzbe
"Nov 10, 2022 @ 15:59:30.267","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000404048^0037076122^00246^BG09491^SPS01^1^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:30.052","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576787^00900777770000509609^0038557823^02302^BG12485^SPS07^3^rfocass",rfocass
"Nov 10, 2022 @ 15:59:28.963","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00900777770000605828^0037076130^00152^BG11293^SPS04^1^rfoksa039",rfoksa039
"Nov 10, 2022 @ 15:59:28.774","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000453187^0037076122^00458^BG09398^SPS01^1^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:27.078","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570284^00600888880000462467^0037854411^00367^BG12527^SPS02^2^rfokratzbe",rfokratzbe
"Nov 10, 2022 @ 15:59:25.427","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570634^00600888880000403567^0037732013^00883^BG11995^SPS09^1^rfoksa246",rfoksa246
"Nov 10, 2022 @ 15:59:23.955","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000453187^0037076122^00140^BG12043^SPS01^4^rfowadew",rfowadew
"Nov 10, 2022 @ 15:59:21.437","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000480587^0037076072^00372^BG11597^SPS07^1^rfocass",rfocass
"Nov 10, 2022 @ 15:59:20.978","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570441^00600888880000478257^0037822376^00632^BG09816^SPS04^2^rfoksa039",rfoksa039
"Nov 10, 2022 @ 15:59:20.918","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000453337^0037076072^00258^BG13256^SPS09^1^rfoksa246",rfoksa246
"Nov 10, 2022 @ 15:59:18.240","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576008^00900777770000583388^0036218311^02452^BG09829^SPS10^2^rfoksa040",rfoksa040
"Nov 10, 2022 @ 15:59:15.694","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8576787^00900777770000509609^0038557823^00570^BG12253^SPS08^3^rfoksa006",rfoksa006
"Nov 10, 2022 @ 15:59:15.632","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000480587^0037076072^02277^BG09455^SPS07^1^rfocass",rfocass
