"@timestamp","system_name",message,"operator_id"
"Nov 21, 2022 @ 07:59:59.935","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000475227^0037395720^02122^BG09390^SPS10^2^rfosilvet",rfosilvet
"Nov 21, 2022 @ 07:59:57.708","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675389^00900777770000595667^0037674306^02427^BG09383^SPS02^1^rfkscottd",rfkscottd
"Nov 21, 2022 @ 07:59:57.247","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675884^00600888880000410435^0033089822^00509^BG09371^SPS03^1^gilli",gilli
"Nov 21, 2022 @ 07:59:54.302","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675875^00600888880000415635^0037232576^00646^BG12395^SPS08^2^RFOBROCK",RFOBROCK
"Nov 21, 2022 @ 07:59:53.115","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675483^00900777770000507641^0037592896^02569^BG11388^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 07:59:51.476","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675413^00600888880000472927^0037866332^02325^BG12203^SPS03^1^gilli",gilli
"Nov 21, 2022 @ 07:59:49.491","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675272^00600888880000448067^0037799434^02294^BG09414^SPS02^3^rfkscottd",rfkscottd
"Nov 21, 2022 @ 07:59:47.691","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000475227^0037395720^02200^BG11601^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 07:59:47.285","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675021^00900777770000582833^0038175824^02364^BG12572^SPS01^1^rfoscott",rfoscott
"Nov 21, 2022 @ 07:59:47.159","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675413^00600888880000447947^0037866332^00549^BG11652^SPS08^1^RFOBROCK",RFOBROCK
"Nov 21, 2022 @ 07:59:46.469","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000441747^0037395720^00759^BG09475^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 07:59:45.830","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675413^00600888880000472927^0037866332^02435^BG13266^SPS03^1^gilli",gilli
"Nov 21, 2022 @ 07:59:43.227","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675413^00600888880000447947^0037866332^00289^BG13248^SPS08^1^RFOBROCK",RFOBROCK
"Nov 21, 2022 @ 07:59:43.186","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675557^00900777770000169547^0033003690^02817^BG09534^SPS05^1^rf8143",rf8143
"Nov 21, 2022 @ 07:59:41.798","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675084^00900777770000608648^0037569084^00367^BG09455^SPS02^2^rfkscottd",rfkscottd
"Nov 21, 2022 @ 07:59:41.239","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675413^00600888880000477447^0037866332^02082^BG11235^SPS01^1^rfoscott",rfoscott
"Nov 21, 2022 @ 07:59:38.499","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675084^00900777770000608648^0037569084^00205^BG11228^SPS03^4^gilli",gilli
"Nov 21, 2022 @ 07:59:38.077","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675351^00600888880000468837^0037613973^02734^BG12204^SPS04^2^rfowadew",rfowadew
"Nov 21, 2022 @ 07:59:35.591","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675041^00600888880000473837^0037405479^02200^BG11601^SPS10^2^rfosilvet",rfosilvet
"Nov 21, 2022 @ 07:59:35.322","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675832^00600888880000491167^0037721271^02535^BG10017^SPS07^2^5398262",5398262
