"@timestamp","system_name",message,"operator_id"
"Nov 15, 2022 @ 23:59:58.996","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624802^00600888880000468187^0037652690^02521^BG09444^SPS07^2^rf0395",rf0395
"Nov 15, 2022 @ 23:59:58.680","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625886^00600888880000469097^0037616554^02775^BG12038^SPS06^2^rforuizord",rforuizord
"Nov 15, 2022 @ 23:59:58.596","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000442737^0038176186^02342^BG12149^SPS10^4^rf0367",rf0367
"Nov 15, 2022 @ 23:59:57.439","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626198^00600888880000414532^0037232592^00306^BG09452^SPS08^2^RFOSTEWAP",RFOSTEWAP
"Nov 15, 2022 @ 23:59:57.223","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625792^00600888880000470457^0037836020^02231^BG09934^SPS03^2^rfohumph",rfohumph
"Nov 15, 2022 @ 23:59:55.067","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625517^00900777770000571138^0038003505^00841^BG12668^SPS03^1^rfohumph",rfohumph
"Nov 15, 2022 @ 23:59:52.422","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625886^00600888880000469097^0037616554^02870^BG09960^SPS06^3^rforuizord",rforuizord
"Nov 15, 2022 @ 23:59:52.096","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626198^00600888880000414532^0037232592^00135^BG09435^SPS08^1^RFOSTEWAP",RFOSTEWAP
"Nov 15, 2022 @ 23:59:51.207","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000437434^0038176186^00366^BG13258^SPS02^3^RFOCONUSA",RFOCONUSA
"Nov 15, 2022 @ 23:59:51.131","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625792^00600888880000470457^0037836020^02428^BG11544^SPS03^1^rfohumph",rfohumph
"Nov 15, 2022 @ 23:59:50.590","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000442737^0038176186^02371^BG09493^SPS10^4^rf0367",rf0367
"Nov 15, 2022 @ 23:59:46.052","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626198^00600888880000414532^0037232592^02451^BG09473^SPS08^1^RFOSTEWAP",RFOSTEWAP
"Nov 15, 2022 @ 23:59:45.426","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625792^00600888880000470457^0037836020^02130^BG09811^SPS03^1^rfohumph",rfohumph
"Nov 15, 2022 @ 23:59:45.250","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000437434^0038176186^00342^BG11751^SPS02^4^RFOCONUSA",RFOCONUSA
"Nov 15, 2022 @ 23:59:44.916","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000442737^0038176186^02288^BG09962^SPS10^1^rf0367",rf0367
"Nov 15, 2022 @ 23:59:43.421","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626358^00600888880000423907^0037618592^02892^BG11392^SPS07^2^rf0395",rf0395
"Nov 15, 2022 @ 23:59:43.342","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625792^00600888880000470457^0037836020^02087^BG09389^SPS03^2^rfohumph",rfohumph
"Nov 15, 2022 @ 23:59:42.255","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626198^00600888880000414532^0037232592^00067^BG09464^SPS08^1^RFOSTEWAP",RFOSTEWAP
"Nov 15, 2022 @ 23:59:41.968","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625886^00600888880000469097^0037616554^02896^BG12037^SPS06^2^rforuizord",rforuizord
"Nov 15, 2022 @ 23:59:39.164","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625606^00600888880000437434^0038176186^00332^BG11303^SPS02^1^RFOCONUSA",RFOCONUSA
