"@timestamp","system_name",message,"operator_id"
"Dec 1, 2022 @ 07:59:58.204","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714055^00600888880000490157^0037842580^02436^BG11607^SPS02^4^rfogarrej",rfogarrej
"Dec 1, 2022 @ 07:59:57.935","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717345^00600888880000491627^0036256386^02723^BG10011^SPS04^2^c175",c175
"Dec 1, 2022 @ 07:59:56.251","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716885^00600888880000409508^0037863933^00306^BG11977^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:55.428","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714084^00600888880000476337^0037779675^02578^BG09324^SPS01^2^rfomilam",rfomilam
"Dec 1, 2022 @ 07:59:53.251","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717359^00600888880000446327^0037397718^02026^BG12391^SPS10^2^rfokc179",rfokc179
"Dec 1, 2022 @ 07:59:52.721","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717215^00900777770000541533^0033097445^00421^BG12730^SPS01^1^rfomilam",rfomilam
"Dec 1, 2022 @ 07:59:52.464","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717029^00600888880000417839^0036556009^02096^BG13272^SPS07^1^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:50.849","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717427^00600888880000457997^0037851169^00190^BG11446^SPS04^2^c175",c175
"Dec 1, 2022 @ 07:59:49.780","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717359^00600888880000446327^0037397718^02033^BG11245^SPS10^1^rfokc179",rfokc179
"Dec 1, 2022 @ 07:59:48.104","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717026^00600888880000406569^0037075439^02374^BG13242^SPS09^1^rfocass",rfocass
"Dec 1, 2022 @ 07:59:47.159","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714080^00600888880000470837^0004966864^02322^BG11806^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:46.220","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717215^00900777770000541533^0033097445^02330^BG09411^SPS01^2^rfomilam",rfomilam
"Dec 1, 2022 @ 07:59:44.921","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717030^00600888880000455867^0037405438^02096^BG13272^SPS07^4^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:44.448","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717933^00600888880000487947^0036133544^02723^BG10011^SPS04^1^c175",c175
"Dec 1, 2022 @ 07:59:43.608","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717215^00900777770000541533^0033097445^02142^BG09863^SPS01^1^rfomilam",rfomilam
"Dec 1, 2022 @ 07:59:42.867","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716992^00600888880000464717^0036124923^02772^BG12397^SPS05^1^rfopetfo",rfopetfo
"Dec 1, 2022 @ 07:59:40.871","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717208^00600888880000492048^0037863883^00083^BG12693^SPS05^2^rfopetfo",rfopetfo
"Dec 1, 2022 @ 07:59:40.184","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716774^00600888880000476347^0038084422^02432^BG09349^SPS10^4^rfokc179",rfokc179
"Dec 1, 2022 @ 07:59:40.158","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717449^00600888880000414574^0037764594^03890^BG09946^SPS02^1^rfogarrej",rfogarrej
"Dec 1, 2022 @ 07:59:37.327","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717030^00600888880000482197^0037405438^02426^BG09336^SPS08^4^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:36.842","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717933^00600888880000487947^0036133544^02723^BG10011^SPS04^4^c175",c175
"Dec 1, 2022 @ 07:59:34.667","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717760^00600888880000407125^0035286202^02594^BG09499^SPS05^1^rfopetfo",rfopetfo
"Dec 1, 2022 @ 07:59:34.548","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714080^00600888880000453757^0004966864^00678^BG09839^SPS09^1^rfocass",rfocass
"Dec 1, 2022 @ 07:59:33.681","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716993^00600888880000484497^0036125086^02581^BG10092^SPS02^2^rfogarrej",rfogarrej
"Dec 1, 2022 @ 07:59:33.575","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717621^00600888880000445967^0036133064^02774^BG13260^SPS06^4^RFOSANDS",RFOSANDS
"Dec 1, 2022 @ 07:59:33.101","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717880^00600888880000464697^0037648318^02523^BG11804^SPS07^2^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:29.314","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717030^00600888880000455867^0037405438^02056^BG11543^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:28.143","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716936^00600888880000424439^0037858149^02368^BG11600^SPS10^2^rfokc179",rfokc179
"Dec 1, 2022 @ 07:59:27.858","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717621^00600888880000445967^0036133064^02418^BG11882^SPS06^3^RFOSANDS",RFOSANDS
"Dec 1, 2022 @ 07:59:27.752","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717880^00600888880000464697^0037648318^02518^BG11380^SPS07^1^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:24.689","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717030^00600888880000455867^0037405438^02064^BG09345^SPS08^2^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:24.394","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714055^00600888880000492139^0037842614^02508^BG11796^SPS04^2^c175",c175
"Dec 1, 2022 @ 07:59:24.090","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717880^00600888880000464697^0037648318^02874^BG09428^SPS07^2^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:21.906","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716774^00600888880000486757^0038084422^02082^BG12247^SPS01^1^rfomilam",rfomilam
"Dec 1, 2022 @ 07:59:21.858","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717621^00600888880000445967^0036133064^02774^BG13260^SPS06^4^RFOSANDS",RFOSANDS
"Dec 1, 2022 @ 07:59:21.087","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717543^00600888880000410518^0037303351^00543^BG13251^SPS05^1^rfopetfo",rfopetfo
"Dec 1, 2022 @ 07:59:20.105","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714055^00600888880000492139^0037842614^02568^BG12130^SPS04^1^c175",c175
"Dec 1, 2022 @ 07:59:18.706","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717880^00600888880000464697^0037648318^02724^BG09425^SPS07^1^RFOBARTE",RFOBARTE
"Dec 1, 2022 @ 07:59:18.016","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717880^00600888880000464697^0037648318^02056^BG11543^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 07:59:16.816","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714055^00600888880000492139^0037842614^02552^BG09326^SPS04^1^c175",c175
