"@timestamp","system_name",message,"operator_id"
"Nov 10, 2022 @ 23:59:59.687","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580854^00600888880000456667^0037822111^00487^BG11357^SPS08^2^rf0252",rf0252
"Nov 10, 2022 @ 23:59:57.936","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8581013^00600888880000475867^0037698636^00888^BG10063^SPS06^1^RFOADAMS",RFOADAMS
"Nov 10, 2022 @ 23:59:57.187","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8585752^00600888880000403938^0037076072^02401^BG12391^SPS10^3^rfoksa252",rfoksa252
"Nov 10, 2022 @ 23:59:56.011","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000471957^0037076239^00218^BG11880^SPS02^1^rfomarqu",rfomarqu
"Nov 10, 2022 @ 23:59:55.511","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8585752^00600888880000475567^0037076072^00841^BG11452^SPS03^2^rfoksb221",rfoksb221
"Nov 10, 2022 @ 23:59:54.422","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8585752^00600888880000403938^0037076072^02371^BG12737^SPS10^2^rfoksa252",rfoksa252
"Nov 10, 2022 @ 23:59:51.576","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580495^00600888880000420541^0037587813^06892^BG12397^SPS05^2^0",0
"Nov 10, 2022 @ 23:59:51.144","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8579949^00600888880000408845^0038003596^02428^BG12578^SPS03^1^rfoksb221",rfoksb221
"Nov 10, 2022 @ 23:59:50.495","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556078^00600888880000471957^0037076239^00685^BG09380^SPS02^1^rfomarqu",rfomarqu
"Nov 10, 2022 @ 23:59:49.556","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8570062^00600888880000439019^0037829488^02026^BG13260^SPS10^1^rfoksa252",rfoksa252
"Nov 10, 2022 @ 23:59:48.468","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8585752^00600888880000403938^0037076072^02288^BG12496^SPS10^1^rfoksa252",rfoksa252
"Nov 10, 2022 @ 23:59:47.234","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8581213^00600888880000415858^0036065506^00683^BG11692^SPS09^2^RFKKSB113",RFKKSB113
"Nov 10, 2022 @ 23:59:46.989","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8571061^00900777770000557698^0037605581^02416^BG12137^SPS02^2^rfomarqu",rfomarqu
"Nov 10, 2022 @ 23:59:46.724","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8581005^00600888880000442757^0034491357^00546^BG10019^SPS01^4^FRORUIZORD",FRORUIZORD
