"@timestamp","system_name",message,"operator_id"
"Nov 17, 2022 @ 07:59:59.563","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635915^00900777770000539709^0037639499^02703^BG11802^SPS07^3^rfkscottd",rfkscottd
"Nov 17, 2022 @ 07:59:57.950","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8641423^00600888880000491175^0037619053^02112^BG13270^SPS10^2^rfoksa028",rfoksa028
"Nov 17, 2022 @ 07:59:57.938","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8641342^00600888880000491175^0037619053^02112^BG13270^SPS10^2^rfoksa028",rfoksa028
"Nov 17, 2022 @ 07:59:57.558","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635915^00900777770000539709^0037639499^02573^BG09481^SPS07^2^rfkscottd",rfkscottd
"Nov 17, 2022 @ 07:59:56.668","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635793^00600888880000432203^0037648334^02435^BG11321^SPS03^3^rfogarrej",rfogarrej
"Nov 17, 2022 @ 07:59:56.546","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635627^00900777770000586602^0037835865^02364^BG09520^SPS01^3^rfomilam",rfomilam
"Nov 17, 2022 @ 07:59:55.534","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635799^00600888880000488437^0037749355^02322^BG11235^SPS08^1^rf8107",rf8107
"Nov 17, 2022 @ 07:59:53.884","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635799^00600888880000488437^0037749355^02426^BG09431^SPS08^1^rf8107",rf8107
"Nov 17, 2022 @ 07:59:53.374","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636008^00900777770000593694^0037736451^02022^BG09869^SPS09^2^rfoksa039",rfoksa039
"Nov 17, 2022 @ 07:59:53.014","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636567^00600888880000443887^0034604983^00332^BG12209^SPS05^1^RFOKSC554",RFOKSC554
"Nov 17, 2022 @ 07:59:51.917","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8641342^00600888880000491042^0037619020^02845^BG12730^SPS07^1^rfkscottd",rfkscottd
"Nov 17, 2022 @ 07:59:49.966","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636523^00600888880000471607^0037619152^02416^BG11494^SPS02^1^rfopetfo",rfopetfo
"Nov 17, 2022 @ 07:59:49.919","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8641336^00600888880000437861^0035436823^02246^BG11589^SPS08^1^rf8107",rf8107
"Nov 17, 2022 @ 07:59:49.567","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635885^00600888880000423705^0037885753^02206^BG09326^SPS03^2^rfogarrej",rfogarrej
"Nov 17, 2022 @ 07:59:49.493","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636008^00900777770000593694^0037736451^00857^BG12576^SPS09^3^rfoksa039",rfoksa039
"Nov 17, 2022 @ 07:59:49.090","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636186^00600888880000491162^0037074549^00893^BG12579^SPS01^1^rfomilam",rfomilam
"Nov 17, 2022 @ 07:59:47.266","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625383^00900777770000589719^0037864782^02403^BG09496^SPS10^2^rfoksa028",rfoksa028
"Nov 17, 2022 @ 07:59:47.023","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635507^00600888880000491499^0037728680^02426^BG09431^SPS08^1^rf8107",rf8107
"Nov 17, 2022 @ 07:59:47.017","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635898^00600888880000408769^0038177580^00412^BG09392^SPS04^1^rfoksa148",rfoksa148
"Nov 17, 2022 @ 07:59:46.693","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635734^00600888880000487547^0037619087^02736^BG11820^SPS06^4^gilli",gilli
