"@timestamp","system_name",message,"operator_id"
"Nov 9, 2022 @ 07:59:58.199","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8559966^00600888880000438516^0037808342^02033^BG09861^SPS10^1^rfoksa031",rfoksa031
"Nov 9, 2022 @ 07:59:57.322","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560011^00600888880000403781^0037840154^00306^BG09538^SPS08^2^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:55.727","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560155^00600888880000481337^0037819430^02154^BG09453^SPS01^4^rfogarrej",rfogarrej
"Nov 9, 2022 @ 07:59:54.230","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560802^00900777770000608860^0037862984^02021^BG11648^SPS09^3^rf0255",rf0255
"Nov 9, 2022 @ 07:59:53.419","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560155^00600888880000448127^0037819430^02379^BG09406^SPS07^4^rfotfarr",rfotfarr
"Nov 9, 2022 @ 07:59:53.140","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560011^00600888880000403781^0037840154^00090^BG11791^SPS08^3^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:52.129","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8559966^00600888880000438516^0037808342^02070^BG11379^SPS10^1^rfoksa031",rfoksa031
"Nov 9, 2022 @ 07:59:49.808","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560155^00600888880000481337^0037819430^02238^BG09501^SPS01^2^rfogarrej",rfogarrej
"Nov 9, 2022 @ 07:59:46.328","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560187^00600888880000429466^0037679263^00642^BG09426^SPS08^3^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:43.407","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560196^00600888880000458307^0037863008^00473^BG09525^SPS09^1^rf0255",rf0255
"Nov 9, 2022 @ 07:59:42.569","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560925^00600888880000406578^0037187515^00132^BG11335^SPS06^1^weiga",weiga
"Nov 9, 2022 @ 07:59:41.398","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560011^00600888880000403781^0037840154^00570^BG11397^SPS08^1^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:40.018","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560155^00600888880000481337^0037819430^02238^BG09501^SPS01^4^rfogarrej",rfogarrej
"Nov 9, 2022 @ 07:59:38.911","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8559966^00600888880000438516^0037808342^00211^BG12209^SPS10^2^rfoksa031",rfoksa031
"Nov 9, 2022 @ 07:59:38.624","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560196^00600888880000458307^0037863008^00182^BG12609^SPS09^1^rf0255",rf0255
"Nov 9, 2022 @ 07:59:38.208","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560925^00600888880000406578^0037187515^00888^BG09409^SPS06^2^weiga",weiga
"Nov 9, 2022 @ 07:59:34.026","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560187^00600888880000429466^0037679263^02165^BG12297^SPS08^3^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:31.268","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560802^00900777770000593006^0037862984^02062^BG09429^SPS10^1^rfoksa031",rfoksa031
"Nov 9, 2022 @ 07:59:31.040","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560155^00600888880000481337^0037819430^02238^BG09501^SPS01^4^rfogarrej",rfogarrej
"Nov 9, 2022 @ 07:59:30.792","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560959^00600888880000434019^0037698602^02295^BG10021^SPS02^1^rfodemar",rfodemar
"Nov 9, 2022 @ 07:59:29.930","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556515^00900777770000573994^0037090206^00129^BG09491^SPS09^1^rf0255",rf0255
"Nov 9, 2022 @ 07:59:29.467","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560580^00600888880000425983^0037822426^00509^BG10796^SPS03^3^rfobrech",rfobrech
"Nov 9, 2022 @ 07:59:28.279","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560959^00600888880000434019^0037698602^02296^BG09471^SPS02^1^rfodemar",rfodemar
"Nov 9, 2022 @ 07:59:26.519","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560187^00600888880000429466^0037679263^00135^BG12081^SPS08^2^RFOBARTE",RFOBARTE
"Nov 9, 2022 @ 07:59:25.837","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560802^00900777770000575418^0037862984^02364^BG13245^SPS10^2^rfoksa031",rfoksa031
"Nov 9, 2022 @ 07:59:25.208","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560925^00600888880000406578^0037187515^00432^BG12488^SPS06^1^weiga",weiga
"Nov 9, 2022 @ 07:59:24.241","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8543773^00900777770000504029^0037759321^00190^BG09419^SPS01^1^rfogarrej",rfogarrej
"Nov 9, 2022 @ 07:59:23.898","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8561216^00600888880000414434^0033799479^00109^BG12649^SPS03^1^rfobrech",rfobrech
