"@timestamp","system_name",message,"operator_id"
"Nov 8, 2022 @ 07:59:59.834","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000611340^0038164109^02348^BG12212^SPS05^4^rfoka080",rfoka080
"Nov 8, 2022 @ 07:59:59.327","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556011^00600888880000425585^0037796414^00432^BG13244^SPS06^4^rfoksc026",rfoksc026
"Nov 8, 2022 @ 07:59:56.824","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8559664^00600888880000437488^0004962923^02412^BG11341^SPS09^1^rfoksa039",rfoksa039
"Nov 8, 2022 @ 07:59:56.345","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556007^00900777770000554781^0037862950^00628^BG09858^SPS02^4^rfohamil",rfohamil
"Nov 8, 2022 @ 07:59:55.508","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000564083^0038164109^02022^BG12437^SPS09^1^rfoksa039",rfoksa039
"Nov 8, 2022 @ 07:59:54.718","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560876^00900777770000548367^0037604402^00229^BG09935^SPS01^4^rfocecor",rfocecor
"Nov 8, 2022 @ 07:59:53.051","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000606289^0038164109^02426^BG12246^SPS08^4^rfoksa246",rfoksa246
"Nov 8, 2022 @ 07:59:52.091","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556011^00600888880000425585^0037796414^00432^BG13244^SPS06^4^rfoksc026",rfoksc026
"Nov 8, 2022 @ 07:59:51.312","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8543459^00900777770000103008^0037225521^02814^BG13234^SPS05^1^rfoka080",rfoka080
"Nov 8, 2022 @ 07:59:50.566","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000564083^0038164109^02022^BG12437^SPS09^4^rfoksa039",rfoksa039
"Nov 8, 2022 @ 07:59:48.925","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556007^00900777770000554781^0037862950^00366^BG09534^SPS02^4^rfohamil",rfohamil
"Nov 8, 2022 @ 07:59:47.724","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000606289^0038164109^02426^BG12246^SPS08^4^rfoksa246",rfoksa246
"Nov 8, 2022 @ 07:59:45.534","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556022^00900777770000564083^0038164109^02022^BG12437^SPS09^4^rfoksa039",rfoksa039
"Nov 8, 2022 @ 07:59:44.567","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8560876^00900777770000548367^0037604402^00229^BG09935^SPS01^4^rfocecor",rfocecor
"Nov 8, 2022 @ 07:59:43.787","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8550440^00600888880000459707^0037614765^02892^BG10021^SPS07^1^rfkksc377",rfkksc377
"Nov 8, 2022 @ 07:59:42.324","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8556011^00600888880000425585^0037796414^00527^BG12652^SPS06^1^rfoksc026",rfoksc026
