"@timestamp","system_name",message,"operator_id"
"Nov 14, 2022 @ 07:59:59.429","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606131^00900777770000571952^0037604345^02552^BG12692^SPS07^1^5398262",5398262
"Nov 14, 2022 @ 07:59:58.535","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606763^00600888880000438979^0037659281^02152^BG12687^SPS09^1^rfoscott",rfoscott
"Nov 14, 2022 @ 07:59:58.439","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606931^00900777770000570493^0036350916^00529^BG09821^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 07:59:56.340","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607238^00900777770000565694^0037878360^00497^BG09330^SPS07^1^5398262",5398262
"Nov 14, 2022 @ 07:59:55.445","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606040^00600888880000468977^0037718061^02100^BG09826^SPS01^1^rfoswaey",rfoswaey
"Nov 14, 2022 @ 07:59:52.465","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606931^00900777770000570493^0036350916^00728^BG13242^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 07:59:51.883","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607243^00600888880000482147^0037639762^02021^BG11989^SPS09^1^rfoscott",rfoscott
"Nov 14, 2022 @ 07:59:49.827","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607238^00900777770000566449^0037878360^00372^BG09406^SPS07^1^5398262",5398262
"Nov 14, 2022 @ 07:59:45.564","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606931^00900777770000570493^0036350916^00728^BG13242^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 07:59:45.561","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606040^00600888880000468977^0037718061^00342^BG09538^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 07:59:45.188","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606998^00600888880000491131^0037698602^02310^BG11928^SPS06^4^rfocinad",rfocinad
"Nov 14, 2022 @ 07:59:42.310","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607238^00900777770000566449^0037878360^00372^BG09406^SPS07^2^5398262",5398262
"Nov 14, 2022 @ 07:59:35.214","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606923^00600888880000439936^0037605011^02238^BG09857^SPS01^1^rfoswaey",rfoswaey
"Nov 14, 2022 @ 07:59:34.407","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606394^00600888880000478667^0037859899^02013^BG09467^SPS07^4^5398262",5398262
"Nov 14, 2022 @ 07:59:32.358","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606627^00600888880000466667^0037888096^02774^BG09382^SPS06^1^rfocinad",rfocinad
"Nov 14, 2022 @ 07:59:29.121","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606394^00600888880000478667^0037859899^02013^BG09467^SPS07^4^5398262",5398262
"Nov 14, 2022 @ 07:59:28.306","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607142^00900777770000530195^0037856440^00355^BG09423^SPS05^1^rfoksc026",rfoksc026
"Nov 14, 2022 @ 07:59:27.248","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8606040^00600888880000468977^0037718061^00685^BG12523^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 07:59:26.413","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8605887^00600888880000432969^0037596459^02774^BG09382^SPS06^2^rfocinad",rfocinad
"Nov 14, 2022 @ 07:59:24.886","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8607142^00900777770000530195^0037856440^02321^BG11802^SPS05^2^rfoksc026",rfoksc026
