"@timestamp","system_name",message,"operator_id"
"Dec 6, 2022 @ 15:59:57.034","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759537^00600888880000485097^0035833045^00728^BG13238^SPS08^1^rfoksc183",rfoksc183
"Dec 6, 2022 @ 15:59:56.636","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759276^00600888880000480037^0035215813^02734^BG09494^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:52.842","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759192^00600888880000473427^0035223973^00152^BG11450^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:51.525","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759440^00600888880000441997^0037397064^00258^BG11985^SPS03^1^rfohamil",rfohamil
"Dec 6, 2022 @ 15:59:50.895","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8756520^00600888880000459237^0037395407^00543^BG09461^SPS05^1^RFOTALIB",RFOTALIB
"Dec 6, 2022 @ 15:59:47.854","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759440^00600888880000441997^0037397064^00205^BG09399^SPS03^2^rfohamil",rfohamil
"Dec 6, 2022 @ 15:59:43.605","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8751002^00900777770000579937^0038094306^00168^BG11659^SPS04^2^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:41.335","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759384^00900777770000589884^0038094322^02010^BG09543^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:34.741","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759384^00900777770000589884^0038094322^00264^BG12037^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:32.663","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759139^00600888880000424857^0037391141^00086^BG09467^SPS02^1^rfoksc177",rfoksc177
"Dec 6, 2022 @ 15:59:31.774","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759442^00600888880000477787^0037075322^00067^BG12210^SPS07^1^Rfksc174",Rfksc174
"Dec 6, 2022 @ 15:59:28.760","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759384^00900777770000589884^0038094322^00424^BG11259^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:28.229","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759723^00600888880000427795^0037767142^02805^BG09385^SPS04^1^rfoksc999",rfoksc999
"Dec 6, 2022 @ 15:59:27.238","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760321^00600888880000406317^0035284264^00217^BG13230^SPS01^1^rfoscott",rfoscott
"Dec 6, 2022 @ 15:59:26.772","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8751180^00900777770000556269^0037810405^00638^BG09405^SPS01^1^rfoscott",rfoscott
