"@timestamp","system_name",message,"operator_id"
"Dec 1, 2022 @ 15:59:57.587","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724511^00900777770000608726^0037644150^02727^BG11754^SPS03^4^rfojstep",rfojstep
"Dec 1, 2022 @ 15:59:55.353","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714053^00600888880000442367^0037780269^02238^BG12438^SPS01^1^rfomila",rfomila
"Dec 1, 2022 @ 15:59:51.032","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724013^00900777770000552799^0037736261^02898^BG12689^SPS06^1^rfosands",rfosands
"Dec 1, 2022 @ 15:59:49.207","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716773^00900777770000589135^0037878436^00441^BG11647^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 15:59:45.150","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724013^00900777770000552799^0037736261^02525^BG09865^SPS06^2^rfosands",rfosands
"Dec 1, 2022 @ 15:59:39.889","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724013^00900777770000552799^0037736261^02736^BG11986^SPS06^1^rfosands",rfosands
"Dec 1, 2022 @ 15:59:39.376","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8726680^00600888880000442447^0037061868^00633^BG11230^SPS02^4^rfoherma",rfoherma
"Dec 1, 2022 @ 15:59:35.400","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723726^00600888880000491516^0037713831^00181^BG09834^SPS06^1^rfosands",rfosands
"Dec 1, 2022 @ 15:59:31.766","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8726680^00600888880000442447^0037061868^00854^BG11285^SPS02^2^rfoherma",rfoherma
"Dec 1, 2022 @ 15:59:31.511","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723726^00600888880000491516^0037713831^00451^BG13270^SPS06^3^rfosands",rfosands
"Dec 1, 2022 @ 15:59:28.876","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686756CV^00600888880000447407^0038102281^02364^BG09858^SPS01^1^rfomila",rfomila
"Dec 1, 2022 @ 15:59:25.741","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686756CV^00600888880000447407^0038102281^02238^BG12438^SPS01^1^rfomila",rfomila
"Dec 1, 2022 @ 15:59:23.828","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723658^00600888880000442987^0037766516^03890^BG11233^SPS02^1^rfoherma",rfoherma
"Dec 1, 2022 @ 15:59:18.711","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723863^00600888880000493235^0037615994^00090^BG12123^SPS01^1^rfomila",rfomila
"Dec 1, 2022 @ 15:59:17.387","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724308^00900777770000506167^0037736287^02889^BG09531^SPS02^1^rfoherma",rfoherma
"Dec 1, 2022 @ 15:59:16.184","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723560^00600888880000422107^0037376985^02727^BG11754^SPS03^1^rfojstep",rfojstep
"Dec 1, 2022 @ 15:59:12.418","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8716773^00900777770000589135^0037878436^00672^BG11321^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 15:59:08.941","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723741^00600888880000437843^0037234416^02288^BG12527^SPS02^1^rfoherma",rfoherma
"Dec 1, 2022 @ 15:59:08.485","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8714053^00600888880000442367^0037780269^02269^BG12043^SPS03^4^rfojstep",rfojstep
"Dec 1, 2022 @ 15:59:01.716","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686756CV^00600888880000447407^0038102281^00883^BG13244^SPS02^2^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:57.787","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723551^00600888880000447407^0038102281^02436^BG09464^SPS02^2^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:57.761","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686756CV^00600888880000447407^0038102281^02436^BG09464^SPS02^1^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:52.856","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723690^00600888880000457447^0037095460^02270^BG12396^SPS01^2^rfomila",rfomila
"Dec 1, 2022 @ 15:58:52.660","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723486^00600888880000426305^0037090339^02416^BG12207^SPS02^2^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:52.335","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724605^00600888880000448467^0033846817^02525^BG09865^SPS06^1^rfosands",rfosands
"Dec 1, 2022 @ 15:58:51.101","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724511^00900777770000608726^0037644150^02726^BG12573^SPS05^1^rfkksc226",rfkksc226
"Dec 1, 2022 @ 15:58:50.325","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724165^00900777770000568009^0034748178^02246^BG12658^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 15:58:49.908","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723425^00600888880000444877^0037939410^00424^BG12737^SPS04^2^c175",c175
"Dec 1, 2022 @ 15:58:49.563","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724605^00600888880000448467^0033846817^03878^BG11497^SPS06^2^rfosands",rfosands
"Dec 1, 2022 @ 15:58:45.766","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717208^00900777770000587039^0037863909^00367^BG12446^SPS02^1^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:45.712","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724511^00900777770000608726^0037644150^02726^BG12573^SPS05^4^rfkksc226",rfkksc226
"Dec 1, 2022 @ 15:58:43.788","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723725^00600888880000453887^0035446152^02096^BG09440^SPS07^1^rfoksc041",rfoksc041
"Dec 1, 2022 @ 15:58:38.761","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723725^00600888880000453887^0035446152^02096^BG09440^SPS07^4^rfoksc041",rfoksc041
"Dec 1, 2022 @ 15:58:38.620","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8720527^00600888880000432253^0034320267^02850^BG13238^SPS04^2^c175",c175
"Dec 1, 2022 @ 15:58:37.826","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8717208^00900777770000587039^0037863909^00816^BG09514^SPS02^2^rfoherma",rfoherma
"Dec 1, 2022 @ 15:58:31.842","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724605^00600888880000448467^0033846817^02884^BG11315^SPS08^1^rfoksc999",rfoksc999
"Dec 1, 2022 @ 15:58:29.998","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723863^00600888880000493235^0037615994^02727^BG11754^SPS03^1^rfojstep",rfojstep
"Dec 1, 2022 @ 15:58:28.661","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724013^00900777770000552799^0037736261^00683^BG11583^SPS09^2^rfoksc071",rfoksc071
"Dec 1, 2022 @ 15:58:27.260","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724291^00600888880000481867^0037599701^02552^BG11248^SPS04^1^c175",c175
"Dec 1, 2022 @ 15:58:22.543","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724245^00600888880000415038^0037419017^02269^BG12043^SPS03^1^rfojstep",rfojstep
"Dec 1, 2022 @ 15:58:21.431","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8724399^00600888880000424497^0037561925^00684^BG11588^SPS09^1^rfoksc071",rfoksc071
"Dec 1, 2022 @ 15:58:20.613","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8723658^00600888880000442987^0037766516^02576^BG12443^SPS04^1^c175",c175
