"@timestamp","system_name",message,"operator_id"
"Dec 7, 2022 @ 15:59:56.709","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767402^00600888880000451207^0037613858^02524^BG09859^SPS04^1^rfoksc180",rfoksc180
"Dec 7, 2022 @ 15:59:54.282","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8771984^00600888880000429606^0032165722^03893^BG09513^SPS06^4^rfotfarr",rfotfarr
"Dec 7, 2022 @ 15:59:52.989","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767555^00600888880000491181^0037134210^02582^BG12437^SPS05^2^rfokrarzbe",rfokrarzbe
"Dec 7, 2022 @ 15:59:52.122","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767743^00900777770000600812^0031755689^00223^BG11922^SPS09^1^t",t
"Dec 7, 2022 @ 15:59:51.117","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767801^00600888880000480387^0033005240^02590^BG11865^SPS08^1^rfoksc183",rfoksc183
"Dec 7, 2022 @ 15:59:49.488","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767571^00900777770000602248^0036122232^02805^BG11808^SPS04^2^rfoksc180",rfoksc180
"Dec 7, 2022 @ 15:59:45.296","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767555^00600888880000491181^0037134210^02582^BG12437^SPS05^4^rfokrarzbe",rfokrarzbe
"Dec 7, 2022 @ 15:59:44.785","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767732^00900777770000508886^0037187507^00549^BG11452^SPS08^2^rfoksc183",rfoksc183
"Dec 7, 2022 @ 15:59:44.577","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8771644^00600888880000435235^0038016630^00473^BG12445^SPS09^1^t",t
"Dec 7, 2022 @ 15:59:42.436","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8767712^00600888880000448667^0037613932^02549^BG12394^SPS04^3^rfoksc180",rfoksc180
