"@timestamp","system_name",message,"operator_id"
"Nov 14, 2022 @ 23:57:33.065",sps09,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1668488253.065174, ""time"": 1668488253.065162}","-"
"Nov 14, 2022 @ 23:42:09.967","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613131^00600888880000457757^0037864956^00190^BG09944^SPS01^1^0",0
"Nov 14, 2022 @ 23:41:59.801","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613131^00600888880000457757^0037864956^00140^BG09482^SPS01^1^0",0
"Nov 14, 2022 @ 23:40:49.143","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613958^00600888880000490257^0037728904^00483^BG11985^SPS05^2^rfomcfad",rfomcfad
"Nov 14, 2022 @ 23:40:45.201","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613958^00600888880000490257^0037728904^00675^BG11503^SPS05^1^rfomcfad",rfomcfad
"Nov 14, 2022 @ 23:32:05.752","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8621257^00600888880000476147^0038086849^00306^BG12205^SPS03^4^rfogeiss",rfogeiss
"Nov 14, 2022 @ 23:31:55.756","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8621257^00600888880000476147^0038086849^00205^BG11374^SPS03^1^rfogeiss",rfogeiss
"Nov 14, 2022 @ 23:31:12.837","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8621257^00600888880000476147^0038086849^02533^BG11588^SPS04^3^RFOGLAWR",RFOGLAWR
"Nov 14, 2022 @ 23:31:07.479","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8621257^00600888880000476147^0038086849^02533^BG11588^SPS04^4^RFOGLAWR",RFOGLAWR
"Nov 14, 2022 @ 23:27:17.475","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613958^00600888880000490257^0037728904^00115^BG12146^SPS02^1^rfoschmu",rfoschmu
