"@timestamp","system_name",message,"operator_id"
"Nov 16, 2022 @ 23:59:59.773","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635777^00600888880000416557^0037396124^02166^BG09345^SPS03^1^RFOHORNE",RFOHORNE
"Nov 16, 2022 @ 23:59:59.448","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636412^00600888880000453777^0037698610^02401^BG11379^SPS10^2^0",0
"Nov 16, 2022 @ 23:59:58.570","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635701^00600888880000454657^0037090578^00190^BG11752^SPS04^1^RFOGILBE",RFOGILBE
"Nov 16, 2022 @ 23:59:56.617","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636386^00600888880000488517^0036182947^00638^BG12398^SPS01^1^rfoconklc",rfoconklc
"Nov 16, 2022 @ 23:59:56.025","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636036^00600888880000406116^0037380276^02258^BG11428^SPS09^1^rfoconusa",rfoconusa
"Nov 16, 2022 @ 23:59:55.136","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636044^00600888880000411072^0037248366^03878^BG09470^SPS05^2^RFOPACHE",RFOPACHE
"Nov 16, 2022 @ 23:59:55.086","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635777^00600888880000416557^0037396124^02334^BG09413^SPS03^3^RFOHORNE",RFOHORNE
"Nov 16, 2022 @ 23:59:53.702","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8641423^00600888880000405009^0037619046^02544^BG09438^SPS08^4^RFKKSB113",RFKKSB113
"Nov 16, 2022 @ 23:59:52.945","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8636412^00600888880000453777^0037698610^00204^BG09454^SPS10^3^0",0
"Nov 16, 2022 @ 23:59:49.331","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624974^00600888880000488587^0037863958^00442^BG11920^SPS04^2^RFOGILBE",RFOGILBE
"Nov 16, 2022 @ 23:59:49.221","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8635777^00600888880000416557^0037396124^02231^BG11222^SPS03^1^RFOHORNE",RFOHORNE
