"@timestamp","system_name",message,"operator_id"
"Nov 15, 2022 @ 15:59:57.774","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624987^00600888880000486117^0037094927^02077^BG09379^SPS06^1^rfofish",rfofish
"Nov 15, 2022 @ 15:59:57.278","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624990^00600888880000454377^0037376225^00598^BG09482^SPS08^1^rfotfarr",rfotfarr
"Nov 15, 2022 @ 15:59:56.027","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625797^00900777770000586268^0036180776^00883^BG12146^SPS02^2^rfopetfo",rfopetfo
"Nov 15, 2022 @ 15:59:55.807","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625812^00600888880000481067^0037889698^02384^BG12668^SPS03^3^rfocass",rfocass
"Nov 15, 2022 @ 15:59:55.732","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626108^00900777770000526435^0036743441^00638^BG12526^SPS01^2^rfomilam",rfomilam
"Nov 15, 2022 @ 15:59:55.667","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614210^00900777770000529152^0037396769^02030^BG09856^SPS03^1^rfocass",rfocass
"Nov 15, 2022 @ 15:59:54.766","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624850^00600888880000410546^0037874674^00516^BG10070^SPS09^2^rfobutle3",rfobutle3
"Nov 15, 2022 @ 15:59:50.865","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625804^00900777770000560956^0037379526^00730^BG12398^SPS08^1^rfotfarr",rfotfarr
"Nov 15, 2022 @ 15:59:49.586","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614374^00600888880000444777^0037795549^00640^BG11997^SPS01^1^rfomilam",rfomilam
"Nov 15, 2022 @ 15:59:49.120","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624850^00600888880000410546^0037874674^00094^BG11602^SPS09^3^rfobutle3",rfobutle3
"Nov 15, 2022 @ 15:59:48.989","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625997^00900777770000580067^0032796674^00146^BG09520^SPS03^1^rfocass",rfocass
"Nov 15, 2022 @ 15:59:48.931","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625797^00900777770000586268^0036180776^00883^BG12146^SPS02^4^rfopetfo",rfopetfo
"Nov 15, 2022 @ 15:59:46.146","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624856^00600888880000428073^0033823873^02503^BG12077^SPS07^1^rfkscottd",rfkscottd
"Nov 15, 2022 @ 15:59:45.149","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624904^00900777770000505636^0037772472^02105^BG09413^SPS10^1^rfocinad",rfocinad
"Nov 15, 2022 @ 15:59:44.784","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8621254^00600888880000481487^0037090479^02426^BG12625^SPS08^4^rfotfarr",rfotfarr
"Nov 15, 2022 @ 15:59:43.803","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625997^00900777770000580067^0032796674^00309^BG09530^SPS03^1^rfocass",rfocass
"Nov 15, 2022 @ 15:59:43.550","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624850^00600888880000410546^0037874674^00417^BG12253^SPS09^2^rfobutle3",rfobutle3
"Nov 15, 2022 @ 15:59:43.532","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8626169^00600888880000446187^0037601002^02862^BG09331^SPS06^4^rfofish",rfofish
"Nov 15, 2022 @ 15:59:43.355","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625276^00900777770000595201^0037585270^02518^BG11594^SPS04^1^rfoscott",rfoscott
"Nov 15, 2022 @ 15:59:40.767","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625909^00900777770000547214^0037841863^02125^BG09518^SPS08^1^rfotfarr",rfotfarr
"Nov 15, 2022 @ 15:59:40.752","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8624856^00600888880000428073^0033823873^02573^BG12128^SPS07^1^rfkscottd",rfkscottd
"Nov 15, 2022 @ 15:59:40.113","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625797^00900777770000586268^0036180776^00883^BG12146^SPS02^4^rfopetfo",rfopetfo
"Nov 15, 2022 @ 15:59:38.645","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625493^00900777770000564838^0038164067^00104^BG12483^SPS03^1^rfocass",rfocass
"Nov 15, 2022 @ 15:59:36.452","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625189^00900777770000598680^0037377579^00683^BG09859^SPS09^1^rfobutle3",rfobutle3
"Nov 15, 2022 @ 15:59:36.019","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8625946^00900777770000509896^0036350916^00406^BG11436^SPS03^1^rfocass",rfocass
