"@timestamp","system_name",message,"operator_id"
"Dec 7, 2022 @ 07:59:59.971","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759952^00600888880000418889^0036999266^00895^BG11598^SPS03^1^rfopefo",rfopefo
"Dec 7, 2022 @ 07:59:59.962","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759834^00600888880000430686^0038309340^02412^BG09835^SPS02^1^Rfoksc174",Rfoksc174
"Dec 7, 2022 @ 07:59:59.802","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759485^00900777770000574204^0037764719^02503^BG11755^SPS07^1^RFOBARTE",RFOBARTE
"Dec 7, 2022 @ 07:59:55.873","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759485^00900777770000574204^0037764719^06875^BG09865^SPS07^1^RFOBARTE",RFOBARTE
"Dec 7, 2022 @ 07:59:55.376","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8756513^00600888880000403965^0035112564^00288^BG09487^SPS01^1^rfocecor",rfocecor
"Dec 7, 2022 @ 07:59:55.224","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760112^00600888880000406362^0037075876^00190^BG11540^SPS04^1^rfoksc180",rfoksc180
"Dec 7, 2022 @ 07:59:55.066","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760178^00900777770000565870^0037765948^02805^BG09191^SPS04^1^rfoksc180",rfoksc180
"Dec 7, 2022 @ 07:59:54.227","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760308^00600888880000416002^0037396611^00338^BG09411^SPS09^2^RFOFISH",RFOFISH
"Dec 7, 2022 @ 07:59:53.270","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760256^00600888880000475327^0031807720^02330^BG09542^SPS01^1^rfocecor",rfocecor
"Dec 7, 2022 @ 07:59:52.111","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759834^00600888880000430686^0038309340^02412^BG09835^SPS02^1^Rfoksc174",Rfoksc174
"Dec 7, 2022 @ 07:59:51.272","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760255^00600888880000492022^0037763638^02804^BG11234^SPS06^1^rfotfarr",rfotfarr
"Dec 7, 2022 @ 07:59:50.480","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759289^00900777770000617302^0037076148^00425^BG11605^SPS05^1^rfokratzbe",rfokratzbe
"Dec 7, 2022 @ 07:59:49.544","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760070^00900777770000616586^0037347325^00258^BG12490^SPS06^1^rfotfarr",rfotfarr
"Dec 7, 2022 @ 07:59:48.859","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760112^00600888880000406362^0037075876^00683^BG09349^SPS04^3^rfoksc180",rfoksc180
"Dec 7, 2022 @ 07:59:47.398","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760256^00600888880000475327^0031807720^00217^BG11414^SPS01^1^rfocecor",rfocecor
"Dec 7, 2022 @ 07:59:46.075","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8756518^00600888880000423218^0037061751^00431^BG09427^SPS09^1^RFOFISH",RFOFISH
"Dec 7, 2022 @ 07:59:44.315","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759173^00900777770000500783^0037764685^06873^BG09397^SPS05^1^rfokratzbe",rfokratzbe
"Dec 7, 2022 @ 07:59:44.237","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759834^00600888880000430686^0038309340^02412^BG09835^SPS02^1^Rfoksc174",Rfoksc174
"Dec 7, 2022 @ 07:59:44.062","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8756518^00600888880000423218^0037061751^00312^BG09514^SPS09^2^RFOFISH",RFOFISH
"Dec 7, 2022 @ 07:59:43.938","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8760141^00600888880000442187^0034246751^02288^BG09321^SPS10^1^rfoksc177",rfoksc177
"Dec 7, 2022 @ 07:59:43.133","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8759872^00600888880000460877^0037728904^02418^BG11244^SPS06^1^rfotfarr",rfotfarr
