"@timestamp","system_name",message,"operator_id"
"Nov 21, 2022 @ 15:58:20.645","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8679887^00600888880000434682^0037557295^00201^BG09486^SPS10^3^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:14.959","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8679887^00600888880000434682^0037557295^02033^BG09475^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:13.614",sps10,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064293.614647, ""time"": 1669064293.614638}","-"
"Nov 21, 2022 @ 15:58:12.353","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675704^00600888880000491612^0037784535^00638^BG09453^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:07.437","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8674825^00600888880000416158^0037093176^02271^BG10069^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:04.994","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675970^00600888880000458267^0036530186^02112^BG11695^SPS10^2^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:02.173","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8674825^00600888880000416158^0037093176^00486^BG09350^SPS10^3^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:58:01.023",sps07,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064281.023336, ""time"": 1669064281.023323}","-"
"Nov 21, 2022 @ 15:57:56.656","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8674825^00600888880000416158^0037093176^02288^BG11548^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:57:52.762","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8679887^00600888880000491983^0037557345^00882^BG09828^SPS07^1^5398262",5398262
"Nov 21, 2022 @ 15:57:50.834","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8674825^00600888880000416158^0037093176^00121^BG09488^SPS10^1^rfosilvet",rfosilvet
"Nov 21, 2022 @ 15:57:44.788",sps09,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064264.788689, ""time"": 1669064264.788681}","-"
"Nov 21, 2022 @ 15:57:42.821","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000427631^0037395670^00666^BG09338^SPS07^1^5398262",5398262
"Nov 21, 2022 @ 15:57:41.787","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675220^00600888880000491699^0038031746^02384^BG10100^SPS03^1^gilli",gilli
"Nov 21, 2022 @ 15:57:37.677","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000427631^0037395670^00076^BG12146^SPS07^2^5398262",5398262
"Nov 21, 2022 @ 15:57:37.161",sps03,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064257.161324, ""time"": 1669064257.161312}","-"
"Nov 21, 2022 @ 15:57:35.228","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675400^00600888880000470677^0037376480^00816^BG12435^SPS02^1^rfkscottd",rfkscottd
"Nov 21, 2022 @ 15:57:29.319","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000418121^0037395670^00606^BG10017^SPS02^2^rfkscottd",rfkscottd
"Nov 21, 2022 @ 15:57:23.960",sps02,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064243.960145, ""time"": 1669064243.960133}","-"
"Nov 21, 2022 @ 15:57:23.751","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000468107^0037395597^00367^BG09441^SPS02^1^rfkscottd",rfkscottd
"Nov 21, 2022 @ 15:57:22.175","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675402^00600888880000422651^0037094638^00570^BG12494^SPS07^1^5398262",5398262
"Nov 21, 2022 @ 15:57:20.012",sps06,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064240.012555, ""time"": 1669064240.012541}","-"
"Nov 21, 2022 @ 15:57:19.142","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675136^00600888880000457147^0037174265^02775^BG12141^SPS04^2^rfowadew",rfowadew
"Nov 21, 2022 @ 15:57:17.808","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675366^00600888880000468107^0037395597^00320^BG09384^SPS02^1^rfkscottd",rfkscottd
"Nov 21, 2022 @ 15:57:16.944",sps04,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064236.943947, ""time"": 1669064236.943938}","-"
"Nov 21, 2022 @ 15:57:15.791","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8679887^00600888880000491983^0037557345^02152^BG13260^SPS09^1^rokible",rokible
"Nov 21, 2022 @ 15:57:15.622","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675136^00600888880000457147^0037174265^02805^BG09352^SPS04^2^rfowadew",rfowadew
"Nov 21, 2022 @ 15:57:14.267","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675220^00600888880000469717^0038031720^00484^BG12349^SPS03^1^gilli",gilli
"Nov 21, 2022 @ 15:57:10.832",sps01,"{""reason"": ""user"", ""message_type"": ""user_logout"", ""event_time"": 1669064230.832739, ""time"": 1669064230.832717}","-"
"Nov 21, 2022 @ 15:57:10.752","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675941^00600888880000491550^0037508314^00320^BG09384^SPS02^1^rfkscottd",rfkscottd
"Nov 21, 2022 @ 15:57:08.907","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8675220^00600888880000469717^0038031720^02384^BG10100^SPS03^1^gilli",gilli
