"@timestamp","system_name",message,"operator_id"
"Nov 14, 2022 @ 15:59:58.847","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02524^BG12350^SPS06^1^rf8143",rf8143
"Nov 14, 2022 @ 15:59:57.922","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02525^BG11697^SPS06^1^rf8143",rf8143
"Nov 14, 2022 @ 15:59:57.610","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613624^00600888880000431982^0037614377^02772^BG12484^SPS07^2^5398262",5398262
"Nov 14, 2022 @ 15:59:57.565","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613999^00600888880000482557^0037468972^02296^BG12655^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:52.659","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613999^00600888880000482557^0037468972^00508^BG11257^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:51.145","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613170^00600888880000443177^0038257895^02112^BG09413^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:49.735","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^03894^BG09435^SPS06^3^rf8143",rf8143
"Nov 14, 2022 @ 15:59:48.953","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^03878^BG11795^SPS06^4^rf8143",rf8143
"Nov 14, 2022 @ 15:59:47.645","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613675^00600888880000443007^0037686730^00410^BG12302^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:47.299","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613675^00600888880000443007^0037686730^00642^BG13252^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:46.746","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613355^00600888880000418333^0037648607^00633^BG12489^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:46.062","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614498^00600888880000436275^0037851482^00497^BG11653^SPS07^2^5398262",5398262
"Nov 14, 2022 @ 15:59:44.945","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613170^00600888880000443177^0038257895^02094^BG11331^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:43.574","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613314^00600888880000416729^0037791878^00129^BG12396^SPS09^1^rfoscott",rfoscott
"Nov 14, 2022 @ 15:59:43.470","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614115^00600888880000419092^0037851391^00264^BG09513^SPS04^1^RFOSTOTT",RFOSTOTT
"Nov 14, 2022 @ 15:59:41.785","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02542^BG12524^SPS06^3^rf8143",rf8143
"Nov 14, 2022 @ 15:59:40.796","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574830CV^00600888880000485897^0037615788^02070^BG10018^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:40.644","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00662^BG09404^SPS08^3^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:40.142","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00229^BG09465^SPS08^2^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:39.783","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613999^00600888880000463627^0037468956^02128^BG11497^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:37.621","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613999^00600888880000463627^0037468956^02296^BG12655^SPS02^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:35.628","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613367^00600888880000431664^0037098738^00129^BG12396^SPS09^1^rfoscott",rfoscott
"Nov 14, 2022 @ 15:59:35.420","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613801^00900777770000587279^0032966269^02589^BG13260^SPS05^1^rfok026",rfok026
"Nov 14, 2022 @ 15:59:34.762","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02834^BG12341^SPS06^4^rf8143",rf8143
"Nov 14, 2022 @ 15:59:34.200","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00662^BG09404^SPS08^4^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:33.542","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613529^00900777770000520875^0037864584^02251^BG09326^SPS01^2^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:32.310","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574830CV^00600888880000485897^0037615788^00638^BG09498^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:31.886","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00229^BG09465^SPS08^4^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:30.262","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613801^00900777770000587279^0032966269^02742^BG09380^SPS05^1^rfok026",rfok026
"Nov 14, 2022 @ 15:59:28.284","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614200^00600888880000440377^0037601143^02568^BG09941^SPS04^1^RFOSTOTT",RFOSTOTT
"Nov 14, 2022 @ 15:59:28.103","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614419^00600888880000435757^0034604991^02022^BG13246^SPS09^1^rfoscott",rfoscott
"Nov 14, 2022 @ 15:59:27.915","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574830CV^00600888880000485897^0037615788^00843^BG12733^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:27.429","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02542^BG12524^SPS06^4^rf8143",rf8143
"Nov 14, 2022 @ 15:59:25.668","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574830CV^00600888880000485897^0037615788^02413^BG12125^SPS10^1^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:24.686","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8574825CV^00600888880000461057^0036638914^02775^BG09405^SPS06^2^rf8143",rf8143
"Nov 14, 2022 @ 15:59:24.504","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00662^BG09404^SPS08^4^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:24.024","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613887^00600888880000487937^0037864824^00640^BG11397^SPS01^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:23.032","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614498^00600888880000436275^0037851482^00666^BG12446^SPS07^2^5398262",5398262
"Nov 14, 2022 @ 15:59:21.326","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000551737^0038176129^00229^BG09465^SPS08^4^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:18.367","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614115^00600888880000482787^0037851383^00312^BG11979^SPS09^2^rfoscott",rfoscott
"Nov 14, 2022 @ 15:59:18.339","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613583^00600888880000443377^0037639457^02529^BG11495^SPS05^1^rfok026",rfok026
"Nov 14, 2022 @ 15:59:18.198","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000517268^0038176129^02452^BG12736^SPS10^2^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:16.528","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613731^00600888880000424269^0037648946^02884^BG10146^SPS07^2^5398262",5398262
"Nov 14, 2022 @ 15:59:15.571","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613590^00600888880000401556^0037676632^00669^BG11656^SPS01^1^rfobrech",rfobrech
"Nov 14, 2022 @ 15:59:14.289","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8614257^00900777770000517268^0038176129^02424^BG11295^SPS10^4^Rfoksa031",Rfoksa031
"Nov 14, 2022 @ 15:59:11.989","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613105^00600888880000427976^0035111566^00619^BG12619^SPS05^1^rfok026",rfok026
"Nov 14, 2022 @ 15:59:11.932","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613135^00600888880000401979^0037673514^00487^BG09535^SPS08^1^rfoniver",rfoniver
"Nov 14, 2022 @ 15:59:11.746","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8613731^00600888880000424269^0037648946^02884^BG10146^SPS07^4^5398262",5398262
