"@timestamp","system_name",message,"operator_id"
"Nov 11, 2022 @ 23:59:58.854","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580419^00900777770000549373^0037866456^02219^BG12726^SPS10^4^MAZZA",MAZZA
"Nov 11, 2022 @ 23:59:58.603","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580735^00900777770000560240^0037770666^06873^BG11296^SPS05^1^RATLI",RATLI
"Nov 11, 2022 @ 23:59:58.118","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580817^00600888880000408507^0037864006^00310^BG11249^SPS06^1^rfokb215",rfokb215
"Nov 11, 2022 @ 23:59:58.112","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580476^00900777770000516560^0036690832^02401^BG11375^SPS10^1^MAZZA",MAZZA
"Nov 11, 2022 @ 23:59:57.996","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580234^00900777770000580916^0037796612^02125^BG12392^SPS08^3^RFOKSB967",RFOKSB967
"Nov 11, 2022 @ 23:59:56.300","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8581036^00900777770000605318^0037605540^00645^BG09486^SPS02^4^rfkksb252",rfkksb252
"Nov 11, 2022 @ 23:59:55.876","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580408^00600888880000456647^0037890241^02206^BG13232^SPS03^1^rfoksb129",rfoksb129
"Nov 11, 2022 @ 23:59:55.244","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580735^00900777770000560240^0037770666^06899^BG11357^SPS05^1^RATLI",RATLI
"Nov 11, 2022 @ 23:59:52.416","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580735^00900777770000560240^0037770666^06892^BG12493^SPS05^1^RATLI",RATLI
"Nov 11, 2022 @ 23:59:52.168","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580419^00900777770000549373^0037866456^02219^BG12726^SPS10^4^MAZZA",MAZZA
"Nov 11, 2022 @ 23:59:50.010","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580817^00600888880000480547^0037864006^02238^BG12436^SPS01^2^RFOKSB974",RFOKSB974
"Nov 11, 2022 @ 23:59:49.313","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8580194^00600888880000419008^0037061603^00246^BG10017^SPS01^1^RFOKSB974",RFOKSB974
